designation,ra,dec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
J101140.97+463513.0,152.9207099,46.5869591,15.699,0.054,20.1,8.184E-01,15.467,0.127,8.6,8.456E-01,12.390,null,1.2,1.085E+00,8.743,null,1.1,9.942E-01,14,14,4,14,1,14,0,14,null,null,null,null,null,null,null,415.850399,353.673973
J101153.36+463507.5,152.9723389,46.5854203,17.440,0.211,5.1,9.168E-01,16.654,null,1.0,9.744E-01,12.396,null,1.0,9.119E-01,9.112,null,0.4,9.509E-01,2,13,1,13,0,13,0,13,null,null,null,null,null,null,null,415.936901,11.358478
J101207.93+462234.4,153.0330566,46.3762370,16.067,0.067,16.2,9.752E-01,15.740,0.150,7.2,8.867E-01,11.944,0.213,5.1,9.458E-01,9.252,null,0.2,9.003E-01,14,16,4,16,1,16,0,16,null,null,null,null,null,null,null,416.454286,145.973467
J101125.98+463424.9,152.8582785,46.5736011,15.658,0.052,20.9,9.630E-01,15.311,0.112,9.7,9.760E-01,11.481,0.147,7.4,9.435E-01,8.895,0.371,2.9,1.104E+00,15,15,5,15,2,15,0,15,null,null,null,null,null,null,null,416.649398,331.261175
J101121.73+463359.5,152.8405681,46.5665547,15.761,0.056,19.3,7.632E-01,15.717,0.154,7.1,1.042E+00,12.922,null,-0.9,1.054E+00,9.011,null,0.6,1.098E+00,15,15,2,15,0,15,0,15,null,null,null,null,null,null,null,418.612504,324.314363
J101113.95+462355.2,152.8081267,46.3986772,16.804,0.120,9.1,8.135E-01,16.765,null,0.6,9.211E-01,12.630,null,0.6,9.865E-01,9.290,null,-0.3,1.062E+00,2,14,0,14,0,14,0,14,null,null,null,null,null,null,null,419.239283,230.930273
J101105.05+462732.5,152.7710804,46.4590466,15.836,0.061,17.7,7.924E-01,15.865,0.192,5.6,8.517E-01,12.875,null,-2.0,9.891E-01,9.307,null,0.0,1.015E+00,12,13,1,13,0,13,0,13,null,null,null,null,null,null,null,419.610982,263.606179
J101225.94+462745.9,153.1080955,46.4627607,15.013,0.038,28.3,8.163E-01,15.130,0.094,11.5,9.941E-01,12.893,null,-1.5,9.812E-01,9.281,null,0.0,9.660E-01,15,15,8,15,0,15,0,15,549074969,15.443,0.050,15.131,0.068,15.063,0.126,420.074187,94.554108
J101225.30+462942.2,153.1054235,46.4950747,16.227,0.081,13.5,7.950E-01,16.233,0.259,4.2,8.357E-01,12.662,null,0.3,8.212E-01,9.212,null,-1.7,1.191E+00,11,13,1,13,0,13,0,13,null,null,null,null,null,null,null,420.149479,78.611622
J101144.83+463520.0,152.9368166,46.5889147,16.116,0.069,15.8,8.309E-01,16.004,0.193,5.6,8.363E-01,12.605,null,0.6,1.115E+00,8.942,null,0.8,9.795E-01,13,15,1,15,0,14,0,15,null,null,null,null,null,null,null,420.395566,359.186210
J101206.50+463420.3,153.0270896,46.5723062,16.887,0.138,7.9,8.121E-01,16.267,0.271,4.0,8.093E-01,12.345,null,1.0,9.178E-01,9.247,null,-0.3,8.506E-01,3,12,0,12,0,12,0,12,null,null,null,null,null,null,null,421.152890,31.083122
J101214.58+462325.7,153.0607835,46.3904734,15.795,0.056,19.4,8.525E-01,15.650,0.135,8.0,1.008E+00,11.983,0.218,5.0,9.311E-01,9.403,null,-0.2,9.972E-01,15,16,3,16,0,16,0,16,null,null,null,null,null,null,null,421.211412,134.228443
J101222.04+462514.9,153.0918615,46.4208085,16.364,0.082,13.3,8.020E-01,16.186,0.226,4.8,9.893E-01,12.254,null,1.7,8.695E-01,9.004,null,0.5,1.064E+00,11,15,1,15,0,15,0,15,null,null,null,null,null,null,null,421.311611,115.965647
J101134.04+462135.0,152.8918462,46.3597450,12.943,0.025,44.1,8.363E-01,13.023,0.031,35.2,1.085E+00,12.344,null,1.0,9.252E-01,9.037,null,0.2,9.711E-01,12,12,12,12,0,12,0,12,549069758,13.649,0.024,13.132,0.027,12.998,0.029,421.400304,196.222134
J101104.63+462850.1,152.7692956,46.4805864,17.494,0.215,5.1,7.579E-01,16.572,null,1.4,1.011E+00,12.701,null,0.5,9.511E-01,8.940,null,0.6,1.156E+00,1,15,1,15,0,15,0,15,null,null,null,null,null,null,null,422.386651,274.184925
J101208.73+463407.3,153.0364137,46.5686981,16.245,0.085,12.7,9.555E-01,15.877,0.189,5.7,1.016E+00,12.118,null,1.7,9.663E-01,9.235,null,-1.6,1.028E+00,8,12,1,12,0,12,0,12,null,null,null,null,null,null,null,422.802626,34.672226
J101106.51+463031.6,152.7771587,46.5088004,17.292,0.172,6.3,7.358E-01,16.851,0.392,2.8,8.542E-01,12.976,null,-0.1,9.268E-01,8.729,null,1.6,9.801E-01,1,16,0,16,0,16,0,16,null,null,null,null,null,null,null,422.809306,288.242116
J101109.16+462503.1,152.7882017,46.4175467,14.917,0.053,20.5,9.187E-01,14.924,0.094,11.5,1.048E+00,12.381,null,0.8,9.069E-01,9.021,null,-0.3,1.065E+00,13,13,7,13,0,13,0,13,549055092,16.040,0.075,15.452,0.088,15.119,0.124,423.077809,242.368897
J101218.96+462416.7,153.0790184,46.4046586,9.243,0.023,47.4,1.328E+00,9.262,0.020,54.9,9.985E-01,9.225,0.028,38.6,9.494E-01,9.051,null,0.4,1.025E+00,16,16,16,16,16,16,0,16,549075068,9.636,0.023,9.355,0.023,9.304,0.018,423.441988,124.964640
J101142.37+462115.8,152.9265805,46.3544123,15.273,0.045,24.3,8.710E-01,15.122,0.101,10.7,8.107E-01,12.329,null,1.2,1.057E+00,9.225,null,-2.0,1.101E+00,13,13,6,13,0,13,0,13,549069751,16.814,0.160,16.209,0.162,15.478,null,425.016801,184.240932
J101153.74+462123.4,152.9739501,46.3565204,17.425,0.199,5.5,8.723E-01,17.043,null,0.2,9.601E-01,12.691,null,0.5,9.040E-01,9.250,null,-0.8,8.985E-01,0,15,1,15,0,15,0,15,null,null,null,null,null,null,null,425.092633,168.291400
J101225.22+463008.0,153.1051065,46.5022438,16.967,0.142,7.7,8.260E-01,16.506,null,1.4,8.772E-01,12.307,null,1.3,8.573E-01,9.148,null,-1.4,9.799E-01,1,13,0,13,0,13,0,13,null,null,null,null,null,null,null,425.185258,75.178063
J101134.73+463510.6,152.8947454,46.5862798,17.251,0.177,6.1,8.794E-01,16.308,null,1.9,9.919E-01,12.876,null,-0.3,8.092E-01,9.234,null,-0.6,1.077E+00,2,14,0,14,0,14,0,14,null,null,null,null,null,null,null,425.383367,345.005023
J101157.91+463505.2,152.9913096,46.5847893,17.269,0.185,5.9,8.571E-01,17.098,null,-0.1,8.528E-01,12.505,null,0.7,8.911E-01,8.578,null,1.9,9.310E-01,1,13,0,13,0,13,0,13,null,null,null,null,null,null,null,425.523106,17.626925
J101204.23+463438.5,153.0176367,46.5773832,17.338,0.190,5.7,7.661E-01,16.865,null,0.5,8.659E-01,12.399,null,1.0,1.105E+00,9.240,null,0.1,7.911E-01,1,13,0,13,0,13,0,13,null,null,null,null,null,null,null,425.719088,27.113168
J101105.10+462649.9,152.7712562,46.4471959,16.950,0.135,8.0,9.795E-01,16.945,0.469,2.3,8.250E-01,12.860,null,-0.6,9.934E-01,8.828,null,1.0,1.006E+00,3,14,1,14,0,13,1,14,null,null,null,null,null,null,null,426.137138,257.890961
J101128.28+463447.5,152.8678505,46.5798655,15.171,0.041,26.2,9.832E-01,14.809,0.074,14.6,8.853E-01,12.533,null,0.9,9.142E-01,9.231,null,-0.3,7.721E-01,15,15,12,15,0,15,0,15,549070105,17.197,0.229,16.289,0.183,15.546,0.189,426.178515,335.516153
J101136.47+462123.4,152.9019780,46.3565058,15.540,0.051,21.3,9.808E-01,15.266,0.111,9.8,1.027E+00,12.325,null,1.2,9.021E-01,9.240,null,-1.7,1.032E+00,13,13,5,13,0,13,0,13,null,null,null,null,null,null,null,426.462292,192.534865
J101226.27+462717.1,153.1094984,46.4547630,17.462,0.206,5.3,8.375E-01,17.044,null,-0.5,8.605E-01,12.718,null,0.4,8.922E-01,9.295,null,-0.5,9.687E-01,1,15,0,15,0,15,0,15,null,null,null,null,null,null,null,426.836066,98.370803
J101207.56+463421.7,153.0315308,46.5727005,16.247,0.084,13.0,8.108E-01,16.195,0.249,4.4,9.459E-01,12.812,null,-1.1,8.423E-01,9.224,null,-0.8,9.690E-01,9,12,2,12,0,12,0,12,null,null,null,null,null,null,null,428.140714,32.243749
J101108.44+462506.2,152.7851972,46.4184130,13.165,0.026,42.6,9.187E-01,13.238,0.032,33.7,1.048E+00,12.607,null,0.3,9.069E-01,8.312,null,1.9,1.065E+00,13,13,13,13,0,13,0,13,549055091,13.574,0.026,13.303,0.033,13.188,0.032,428.270951,243.202554
J101140.82+463525.7,152.9200992,46.5904745,16.653,0.107,10.2,9.037E-01,16.262,0.258,4.2,7.891E-01,12.869,null,-1.4,9.246E-01,8.682,null,1.6,1.004E+00,5,14,1,14,0,14,0,14,null,null,null,null,null,null,null,428.595297,353.660043
J101157.38+462126.2,152.9891227,46.3572926,16.291,0.078,13.9,8.745E-01,17.014,0.492,2.2,1.015E+00,12.928,null,-0.3,1.109E+00,8.953,null,0.7,8.562E-01,10,15,1,15,0,15,0,15,null,null,null,null,null,null,null,431.631003,163.309927
J101115.73+462316.0,152.8155478,46.3877788,15.134,0.041,26.7,9.355E-01,15.255,0.112,9.7,8.372E-01,12.447,0.371,2.9,9.985E-01,9.211,null,-0.6,1.066E+00,14,14,7,14,0,14,0,14,null,null,null,null,null,null,null,431.782508,225.340592
J101206.89+462208.9,153.0287222,46.3691425,17.269,0.170,6.4,8.104E-01,16.854,0.408,2.7,9.959E-01,12.867,null,0.2,1.071E+00,9.290,null,-1.4,9.969E-01,2,16,0,16,0,16,0,16,null,null,null,null,null,null,null,432.246781,149.049767
J101138.69+462112.8,152.9112443,46.3535604,16.860,0.135,8.0,8.168E-01,16.496,null,1.3,8.290E-01,12.126,null,1.9,8.998E-01,9.124,null,0.2,9.830E-01,2,13,0,13,0,13,0,13,null,null,null,null,null,null,null,432.536339,189.251380
J101106.21+462546.4,152.7759105,46.4295749,17.166,0.168,6.5,9.328E-01,16.498,null,1.3,1.060E+00,12.859,null,-1.7,8.861E-01,8.502,null,2.0,1.117E+00,2,13,0,13,0,13,0,13,null,null,null,null,null,null,null,433.110330,249.334209
J101226.36+462957.1,153.1098375,46.4992221,16.645,0.109,10.0,9.199E-01,16.590,0.355,3.1,9.639E-01,12.379,null,1.1,9.505E-01,8.561,null,1.4,1.071E+00,4,13,0,13,0,13,0,13,null,null,null,null,null,null,null,433.974687,76.960302
J101103.81+462718.9,152.7658812,46.4552516,16.816,0.126,8.6,8.519E-01,16.833,0.439,2.5,8.615E-01,12.844,null,-0.2,9.219E-01,8.827,null,0.8,1.095E+00,4,13,0,13,0,13,0,13,null,null,null,null,null,null,null,434.141494,262.007741
J101205.36+463443.2,153.0223373,46.5786831,17.137,0.163,6.7,9.623E-01,16.588,0.344,3.2,8.320E-01,12.579,null,0.5,9.333E-01,9.239,null,-0.9,8.987E-01,2,13,0,13,0,13,0,13,null,null,null,null,null,null,null,435.271480,28.194074
J101122.08+462217.3,152.8420289,46.3714750,16.102,0.075,14.5,8.367E-01,16.536,0.358,3.0,8.764E-01,12.821,null,-1.4,1.026E+00,9.226,null,-2.3,1.083E+00,11,13,0,13,0,13,0,13,549069779,16.790,0.157,16.467,0.202,15.837,null,435.363547,213.681256
J101207.22+463432.8,153.0301025,46.5758018,17.347,0.205,5.3,8.403E-01,16.951,null,0.2,7.542E-01,12.798,null,-3.3,1.105E+00,8.524,null,1.5,1.017E+00,1,12,0,12,0,12,0,12,null,null,null,null,null,null,null,435.779492,31.066287
J101150.96+462106.9,152.9623695,46.3519308,17.023,0.141,7.7,8.880E-01,16.902,0.455,2.4,8.624E-01,12.955,null,-1.0,1.026E+00,9.337,null,-0.1,9.905E-01,2,15,0,15,0,15,0,15,null,null,null,null,null,null,null,436.583279,172.432237
J101119.86+463408.0,152.8327882,46.5689062,16.696,0.108,10.0,7.967E-01,16.681,null,1.0,8.619E-01,12.499,null,0.9,8.988E-01,8.907,null,1.0,1.041E+00,7,15,0,15,0,15,0,15,null,null,null,null,null,null,null,436.865006,322.913793
J101227.62+462753.6,153.1151233,46.4648905,16.287,0.079,13.7,9.595E-01,15.948,0.192,5.7,8.932E-01,12.904,null,-0.3,9.117E-01,9.161,null,0.2,1.047E+00,11,15,1,15,0,15,0,15,null,null,null,null,null,null,null,436.911668,93.365473
J101103.09+462737.4,152.7629011,46.4604130,17.163,0.168,6.5,8.379E-01,16.842,null,0.4,9.740E-01,12.198,null,1.6,9.069E-01,9.234,null,-0.4,9.590E-01,2,13,0,13,0,13,0,13,null,null,null,null,null,null,null,439.264183,264.544057
J101226.18+463025.5,153.1091130,46.5070967,14.055,0.028,38.3,1.052E+00,14.112,0.048,22.7,9.909E-01,12.231,null,1.5,1.008E+00,8.857,null,0.7,9.773E-01,13,13,13,13,0,13,0,13,549074910,14.753,0.033,14.219,0.035,14.173,0.057,439.456482,73.302965
J101115.78+463336.0,152.8157604,46.5600131,17.288,0.170,6.4,9.017E-01,16.821,0.423,2.6,9.621E-01,12.767,0.459,2.4,9.160E-01,9.020,null,0.7,8.983E-01,1,16,0,16,1,16,0,16,null,null,null,null,null,null,null,440.012179,316.005220
J101103.26+462708.5,152.7636172,46.4523840,16.265,0.081,13.5,7.666E-01,16.246,0.264,4.1,8.416E-01,12.843,null,-0.3,1.086E+00,9.152,null,-0.5,1.033E+00,11,13,1,13,0,13,0,13,null,null,null,null,null,null,null,441.258967,260.783601
J101104.81+462602.5,152.7700641,46.4340334,17.355,0.189,5.7,8.327E-01,16.384,null,1.8,9.005E-01,12.351,null,1.3,8.191E-01,9.260,null,0.0,9.522E-01,2,14,0,13,0,13,0,14,null,null,null,null,null,null,null,441.436350,251.950963
J101153.31+463533.7,152.9721504,46.5926966,15.536,0.050,21.6,8.716E-01,15.398,0.119,9.1,8.195E-01,12.771,null,0.1,9.889E-01,9.147,null,0.2,1.008E+00,13,13,4,13,0,13,0,13,null,null,null,null,null,null,null,441.560191,10.628328
J101228.00+462736.9,153.1166931,46.4602742,16.606,0.101,10.7,9.049E-01,16.587,0.345,3.1,9.945E-01,12.916,null,-1.5,1.154E+00,9.342,null,-0.3,9.295E-01,7,15,0,15,0,15,0,15,null,null,null,null,null,null,null,442.112333,95.484922
J101134.81+462111.3,152.8950685,46.3531653,15.661,0.054,20.0,8.648E-01,16.090,0.233,4.7,8.981E-01,12.787,null,-3.0,8.553E-01,9.107,null,-0.2,9.520E-01,13,13,1,13,0,12,0,13,549069747,16.593,0.131,15.891,0.134,15.776,null,442.146876,194.369677
J101138.15+463535.7,152.9089779,46.5932667,17.442,0.204,5.3,8.231E-01,16.779,0.408,2.7,9.817E-01,12.866,null,-0.7,1.002E+00,9.279,null,-0.3,8.789E-01,1,14,1,14,0,14,0,14,null,null,null,null,null,null,null,442.410406,350.260983
J101227.29+462952.7,153.1137495,46.4979786,16.901,0.134,8.1,9.669E-01,15.868,0.190,5.7,8.481E-01,12.629,null,0.4,1.027E+00,9.056,null,0.2,1.097E+00,4,13,2,13,0,13,0,13,null,null,null,null,null,null,null,442.471624,77.805913
J101103.58+462959.7,152.7649488,46.4999433,14.547,0.032,33.5,8.376E-01,14.290,0.053,20.5,8.873E-01,12.359,0.325,3.3,1.092E+00,8.932,null,0.8,1.072E+00,15,15,15,15,0,15,1,15,549054977,16.540,0.116,15.871,0.122,15.138,0.135,443.428711,283.103781
J101128.89+462129.9,152.8703781,46.3583318,17.171,0.168,6.5,1.014E+00,16.990,null,0.0,8.630E-01,12.841,null,-1.3,1.052E+00,9.083,null,0.3,1.142E+00,1,13,0,13,0,13,0,13,null,null,null,null,null,null,null,443.951896,202.663721
J101221.52+463221.1,153.0896869,46.5392152,17.424,0.203,5.4,8.574E-01,16.730,0.389,2.8,8.477E-01,12.902,null,-0.4,1.159E+00,9.198,null,-0.1,9.890E-01,1,14,1,14,0,14,1,14,null,null,null,null,null,null,null,444.155327,57.017659
J101204.70+462142.0,153.0196166,46.3616806,16.765,0.113,9.6,8.383E-01,16.559,null,1.5,8.982E-01,12.316,null,1.3,8.879E-01,8.949,null,1.0,9.998E-01,4,15,0,15,0,15,0,15,null,null,null,null,null,null,null,444.927593,153.329414
J101116.04+462253.3,152.8168598,46.3814898,17.294,0.177,6.1,8.893E-01,16.740,0.404,2.7,8.860E-01,12.858,null,-0.1,9.819E-01,8.989,null,0.3,9.109E-01,2,14,0,14,0,14,0,14,null,null,null,null,null,null,null,445.786117,222.978486
J101143.89+463546.1,152.9328754,46.5961432,16.484,0.090,12.0,8.980E-01,16.096,0.217,5.0,9.803E-01,12.765,null,0.1,9.694E-01,9.122,null,0.2,9.902E-01,9,14,0,14,0,13,0,14,null,null,null,null,null,null,null,446.653001,357.983138
J101214.55+462249.3,153.0606506,46.3803875,16.142,0.070,15.6,1.001E+00,15.852,0.163,6.7,9.136E-01,12.568,null,0.9,9.472E-01,9.328,null,0.2,1.026E+00,14,17,2,17,0,17,0,17,null,null,null,null,null,null,null,447.110548,137.589041
J101227.53+463006.9,153.1147084,46.5019247,16.958,0.138,7.9,7.726E-01,16.007,0.212,5.1,8.955E-01,12.616,null,0.4,1.047E+00,9.140,null,-0.5,1.129E+00,3,13,2,13,0,13,0,13,null,null,null,null,null,null,null,447.965536,76.092370
J101224.45+463136.4,153.1019127,46.5267860,16.688,0.108,10.1,9.380E-01,16.375,0.274,4.0,8.965E-01,12.633,null,0.5,7.769E-01,9.304,null,-2.1,9.810E-01,6,14,1,14,0,14,0,14,null,null,null,null,null,null,null,448.566446,63.933772
J101108.88+463222.9,152.7870176,46.5397211,17.098,0.153,7.1,8.138E-01,16.820,null,0.6,8.266E-01,12.782,0.476,2.3,9.341E-01,9.203,null,0.3,1.046E+00,1,15,0,15,0,15,0,15,null,null,null,null,null,null,null,448.795768,302.876396
J101224.09+463147.6,153.1003768,46.5298912,15.858,0.062,17.5,8.797E-01,15.602,0.139,7.8,9.631E-01,12.678,0.458,2.4,8.537E-01,9.276,null,-0.8,1.119E+00,12,14,3,14,0,14,0,14,null,null,null,null,null,null,null,450.189784,62.442467
J101110.56+463250.6,152.7940041,46.5473896,13.600,0.026,42.2,8.477E-01,13.671,0.036,30.1,9.215E-01,12.844,null,0.2,1.011E+00,9.404,null,0.0,1.096E+00,16,16,16,16,0,16,0,16,549054904,14.098,0.026,13.715,0.030,13.667,0.044,450.371178,307.024377
J101226.98+462602.3,153.1124444,46.4339799,16.602,0.100,10.8,7.952E-01,16.679,0.374,2.9,9.886E-01,12.731,0.488,2.2,8.492E-01,9.281,null,-0.2,1.037E+00,7,15,0,15,0,15,0,15,null,null,null,null,null,null,null,451.049891,107.674324
J101145.72+463550.7,152.9405095,46.5974415,17.441,0.202,5.4,8.500E-01,16.901,0.462,2.3,7.841E-01,12.874,null,-0.3,9.600E-01,9.204,0.531,2.0,9.352E-01,2,14,0,14,0,14,0,14,null,null,null,null,null,null,null,451.060681,0.402038
J101229.07+462759.3,153.1211268,46.4664880,16.513,0.097,11.2,8.109E-01,16.435,null,1.8,9.192E-01,12.902,null,-0.7,1.105E+00,9.259,null,-0.1,9.514E-01,7,14,0,14,0,14,0,14,null,null,null,null,null,null,null,451.468830,92.521765
J101217.42+463327.5,153.0726119,46.5576584,16.319,0.086,12.6,9.716E-01,16.162,0.232,4.7,8.048E-01,12.458,null,0.9,1.033E+00,8.907,null,0.4,1.017E+00,7,13,2,13,0,13,0,13,549074834,16.672,0.138,16.417,0.211,15.606,null,451.608052,46.980390
J101126.27+463507.1,152.8594986,46.5853149,15.868,0.061,17.9,8.183E-01,15.561,0.143,7.6,1.022E+00,12.706,null,0.3,9.874E-01,8.717,null,1.3,9.466E-01,14,14,2,14,0,14,0,14,null,null,null,null,null,null,null,452.732209,334.168047
J101124.22+463457.6,152.8509284,46.5826888,16.660,0.107,10.2,1.043E+00,16.514,0.318,3.4,8.795E-01,12.402,null,1.0,9.122E-01,9.224,null,-0.2,8.996E-01,4,14,0,14,0,14,0,14,null,null,null,null,null,null,null,454.080530,331.238826
J101225.15+462504.4,153.1048074,46.4179018,15.645,0.053,20.5,1.025E+00,15.756,0.177,6.1,9.424E-01,12.877,null,-2.3,1.067E+00,8.604,null,1.3,9.697E-01,13,14,2,14,0,14,0,14,549075039,16.802,0.150,16.125,0.145,15.053,null,454.793574,115.370196
J101116.89+463406.4,152.8203874,46.5684467,16.983,0.131,8.3,7.786E-01,17.053,null,0.1,9.862E-01,12.523,null,1.0,1.031E+00,8.719,null,1.4,9.658E-01,2,16,0,16,0,16,0,16,null,null,null,null,null,null,null,454.802049,319.705138
J101132.31+462105.0,152.8846562,46.3513982,14.844,0.037,29.0,9.126E-01,14.564,0.071,15.2,8.481E-01,12.767,null,0.1,9.441E-01,9.117,null,-0.1,1.009E+00,12,12,11,12,0,12,0,12,549069745,16.772,0.157,16.071,0.146,15.249,0.158,455.322156,197.327138
J101200.73+463526.8,153.0030746,46.5907897,13.863,0.028,38.5,8.370E-01,13.923,0.043,25.5,9.952E-01,12.588,null,0.5,1.012E+00,9.159,null,0.0,9.241E-01,13,13,13,13,0,13,1,13,549074774,14.672,0.034,14.008,0.035,13.976,0.048,455.432801,20.292181
J101210.67+463434.2,153.0444967,46.5761810,16.958,0.151,7.2,7.476E-01,16.383,null,1.7,9.192E-01,12.779,null,-0.9,9.190E-01,8.783,null,0.9,9.515E-01,2,12,0,12,0,12,0,12,null,null,null,null,null,null,null,456.339697,34.808277
J101112.38+463323.0,152.8015996,46.5564082,17.332,0.178,6.1,9.188E-01,17.095,0.510,2.1,9.435E-01,12.964,null,-1.1,1.074E+00,8.835,null,1.3,9.999E-01,2,16,1,16,0,16,0,16,null,null,null,null,null,null,null,456.364636,311.706526
J101108.77+462404.9,152.7865799,46.4013766,16.188,0.077,14.1,7.995E-01,16.533,null,1.0,8.377E-01,12.797,null,0.1,8.270E-01,9.207,null,-1.3,9.303E-01,11,13,0,13,0,13,0,13,549055117,16.578,0.117,15.890,0.113,15.471,null,456.445387,236.124476
J101103.54+462550.1,152.7647510,46.4305978,16.433,0.093,11.7,8.231E-01,16.167,0.246,4.4,9.153E-01,12.204,null,1.5,7.546E-01,9.246,null,-0.5,1.049E+00,8,13,1,13,0,13,0,13,null,null,null,null,null,null,null,457.882716,250.994965
J101118.15+463422.3,152.8256608,46.5728687,16.239,0.072,15.0,7.722E-01,16.331,0.262,4.1,7.755E-01,12.692,null,0.5,9.484E-01,9.101,null,0.4,8.486E-01,13,16,1,16,0,16,0,16,null,null,null,null,null,null,null,458.921154,322.234773
J101156.13+463545.9,152.9838894,46.5960848,16.272,0.080,13.5,1.010E+00,16.606,0.354,3.1,9.941E-01,12.156,null,1.7,8.461E-01,9.135,null,-0.3,1.062E+00,10,13,0,13,0,13,0,13,549074765,16.659,0.124,16.264,0.185,15.760,0.224,459.669394,13.906205
J101140.18+463556.3,152.9174198,46.5989975,17.305,0.187,5.8,5.799E-01,17.074,null,-0.8,9.901E-01,12.855,null,-0.3,1.032E+00,9.258,null,-1.7,8.862E-01,0,13,0,13,0,13,0,13,null,null,null,null,null,null,null,459.834283,353.262397
J101215.44+463359.4,153.0643453,46.5665082,16.887,0.132,8.2,7.456E-01,16.207,0.243,4.5,7.914E-01,12.846,null,-0.2,1.043E+00,8.583,null,1.4,9.797E-01,2,13,1,13,0,13,0,13,null,null,null,null,null,null,null,459.835310,42.332161
J101106.49+462436.9,152.7770533,46.4102560,16.770,0.124,8.8,8.471E-01,16.823,null,0.3,1.048E+00,12.828,0.528,2.1,1.005E+00,9.157,null,-0.9,1.028E+00,3,13,0,13,0,13,0,13,null,null,null,null,null,null,null,459.901885,241.079654
J101228.54+463016.3,153.1189261,46.5045368,17.094,0.157,6.9,9.096E-01,16.540,0.338,3.2,8.404E-01,12.183,null,1.7,9.858E-01,9.257,null,-0.3,1.017E+00,1,13,0,13,0,13,0,13,null,null,null,null,null,null,null,460.403561,75.265547
J101111.87+462315.6,152.7994847,46.3876819,17.399,0.199,5.4,1.003E+00,16.615,0.372,2.9,8.807E-01,12.720,0.488,2.2,7.469E-01,9.248,null,0.1,1.156E+00,0,14,0,14,0,14,0,14,null,null,null,null,null,null,null,461.194231,228.800886
J101146.83+463600.8,152.9451448,46.6002236,16.059,0.068,15.9,7.813E-01,15.642,0.146,7.4,1.030E+00,12.420,null,1.1,8.381E-01,9.047,null,0.4,9.875E-01,13,14,0,14,0,14,0,14,null,null,null,null,null,null,null,461.297726,1.817471
J101221.17+462342.8,153.0882273,46.3952267,16.597,0.098,11.0,9.790E-01,16.052,0.210,5.2,9.633E-01,12.767,0.476,2.3,9.578E-01,9.280,null,0.0,1.010E+00,8,15,0,15,0,15,0,15,null,null,null,null,null,null,null,461.895683,126.782786
J101138.38+463556.6,152.9099292,46.5990726,15.951,0.063,17.2,8.203E-01,15.701,0.155,7.0,8.193E-01,12.711,0.478,2.3,8.846E-01,8.641,null,1.4,9.845E-01,14,14,1,13,0,13,0,14,null,null,null,null,null,null,null,462.647292,350.987046
J101108.91+463248.8,152.7871476,46.5468957,14.857,0.036,30.5,7.466E-01,14.753,0.071,15.4,1.073E+00,12.718,null,0.4,9.599E-01,9.379,null,0.0,1.030E+00,16,16,11,16,0,16,0,16,549054907,15.846,0.064,15.322,0.073,14.966,0.109,463.021640,305.586535
J101150.89+463600.1,152.9620825,46.6000460,14.574,0.033,32.5,1.160E+00,14.201,0.052,21.1,1.044E+00,12.230,null,1.7,9.953E-01,9.241,null,0.0,1.076E+00,14,14,14,14,0,14,0,14,549070141,16.594,0.134,15.748,0.118,15.368,0.171,463.890731,6.999000
J101218.40+463334.8,153.0767039,46.5596798,16.981,0.141,7.7,7.925E-01,16.675,0.379,2.9,9.264E-01,12.311,null,1.3,1.057E+00,9.088,null,-0.7,9.444E-01,1,13,0,13,0,13,0,13,null,null,null,null,null,null,null,463.983931,47.174156
J101202.44+463529.3,153.0101792,46.5914739,13.082,0.026,41.9,9.804E-01,13.153,0.030,36.4,9.717E-01,12.282,null,1.4,8.086E-01,8.901,null,0.9,9.098E-01,13,13,13,13,0,13,0,13,549074771,13.783,0.024,13.275,0.024,13.115,0.031,464.115015,22.221351
J101222.34+462355.7,153.0931243,46.3988254,16.393,0.089,12.2,8.242E-01,16.474,0.315,3.5,9.475E-01,12.759,null,0.4,1.067E+00,9.266,null,-0.8,9.290E-01,8,15,1,15,0,15,0,15,null,null,null,null,null,null,null,464.178051,124.602411
J101215.75+462237.4,153.0656413,46.3770829,17.401,0.185,5.9,8.172E-01,16.200,0.219,5.0,1.054E+00,12.925,null,0.2,1.028E+00,9.305,null,0.0,1.100E+00,1,17,2,17,0,17,0,17,null,null,null,null,null,null,null,464.253393,137.446524
J101102.96+463052.6,152.7623492,46.5146322,16.756,0.112,9.7,9.135E-01,16.521,0.305,3.6,9.117E-01,12.803,0.461,2.4,1.021E+00,9.145,0.467,2.3,9.517E-01,3,16,2,16,0,16,0,16,null,null,null,null,null,null,null,464.288782,289.296384
J101101.07+462701.0,152.7544758,46.4502879,15.652,0.056,19.5,9.776E-01,15.403,0.133,8.2,9.105E-01,12.423,0.379,2.9,1.076E+00,9.022,0.461,2.4,8.897E-01,12,12,5,12,0,12,0,12,null,null,null,null,null,null,null,464.872076,260.319765
